,Method,YY_MM,Quantity of Units Issued,Quantity of Units,Rolling_Issuance,Rolling_Retirement,Balance,Retirement_Ratio
624,Cookstoves,19_04,267181.0,4851.0,2684595.0,1939207.0,745388.0,0.7223462011960836
625,Cookstoves,19_05,0.0,17477.0,2684595.0,1956684.0,727911.0,0.7288563079347165
626,Cookstoves,19_06,0.0,34658.0,2684595.0,1991342.0,693253.0,0.7417662626951179
627,Cookstoves,19_07,0.0,1033.0,2684595.0,1992375.0,692220.0,0.7421510507171473
628,Cookstoves,19_08,0.0,12475.0,2684595.0,2004850.0,679745.0,0.7467979341390415
629,Cookstoves,19_09,0.0,3129.0,2684595.0,2007979.0,676616.0,0.747963473075082
630,Cookstoves,19_10,0.0,25301.0,2684595.0,2033280.0,651315.0,0.7573879858973142
631,Cookstoves,19_11,230594.0,101000.0,2915189.0,2134280.0,780909.0,0.7321240578226661
632,Cookstoves,19_12,2633.0,161470.0,2917822.0,2295750.0,622072.0,0.7868026219556916
633,Cookstoves,20_01,91951.0,1952.0,3009773.0,2297702.0,712071.0,0.7634137192406205
634,Cookstoves,20_02,120000.0,23584.0,3129773.0,2321286.0,808487.0,0.741678709606096
635,Cookstoves,20_03,315873.0,29282.0,3445646.0,2350568.0,1095078.0,0.6821849952084457
636,Cookstoves,20_04,0.0,21155.0,3445646.0,2371723.0,1073923.0,0.6883246276605316
637,Cookstoves,20_05,30393.0,6482.0,3476039.0,2378205.0,1097834.0,0.6841709773682056
638,Cookstoves,20_06,0.0,35460.0,3476039.0,2413665.0,1062374.0,0.6943722438096925
639,Cookstoves,20_07,0.0,24083.0,3476039.0,2437748.0,1038291.0,0.7013005320135937
640,Cookstoves,20_08,0.0,9989.0,3476039.0,2447737.0,1028302.0,0.7041742051800914
641,Cookstoves,20_09,145735.0,10148.0,3621774.0,2457885.0,1163889.0,0.6786411852313259
642,Cookstoves,20_10,0.0,173450.0,3621774.0,2631335.0,990439.0,0.7265320806875305
643,Cookstoves,20_11,4529.0,17172.0,3626303.0,2648507.0,977796.0,0.7303600940131038
644,Cookstoves,20_12,500.0,42152.0,3626803.0,2690659.0,936144.0,0.7418817619815579
645,Cookstoves,21_01,0.0,56371.0,3626803.0,2747030.0,879773.0,0.7574246519593152
