,Project ID,Type,Name,Location,Standard,Volume,Price,Price Type,Broker,Offer Date,LDC,Notes,Year,Month,Quarter,Vintage
92,VCS 554,Hydro,"Azmak 24.3 Hydro Power Project, Turkey",Turkey,VCS,40000,2.5,Trade,CBL,2019-09-19,0.0,,2019,9,3,2014
93,VCS 1867,Wind,Ningxia Xiangshan Wind Farm Project,China,VCS-SDG,350000,0.32,Trade,CBL,2019-09-24,0.0,,2019,9,3,2017
94,VCS 1867,Wind,Ningxia Xiangshan Wind Farm Project,China,VCS-SDG,50000,0.32,Trade,CBL,2019-09-24,0.0,,2019,9,3,2018
95,VCS 740,Wind,Prairiwinds ND1 (PWND1) Emissions Reduction Project,USA,VCS-SDG,40000,2.8,Trade,CBL,2019-09-24,0.0,,2019,9,3,2014
96,VCS 1748,REDD,Southern Cardamom,Cambodia,VCS-CCB-SDG,5000,6.1,Trade,CBL,2019-10-01,1.0,,2019,10,4,2017
97,VCS 562,REDD,The Kasigau Corridor REDD Project - Phase I Rukinga Sanctuary,Kenya,VCS-CCB-SDG,5000,6.1,Trade,CBL,2019-10-01,0.0,,2019,10,4,2017
98,VCS 1168,REDD,Kulera Landscape REDD+ Program for Co-Managed Protected Areas,Malawi,VCS-CCB,425,7.75,Trade,CBL,2019-10-01,1.0,,2019,10,4,2013
99,VCS 674,REDD,Rimba Raya,Indonesia,VCS-CCB-SDG,2000,3.0,Trade,CBL,2019-10-04,0.0,,2019,10,4,2013
100,VCS 1622,REDD,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Guatemala,VCS-CCB,5000,3.4,Trade,CBL,2019-10-09,0.0,,2019,10,4,2016
101,VCS 1622,REDD,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Guatemala,VCS-CCB,60000,3.6,Trade,CBL,2019-10-09,0.0,,2019,10,4,2017
102,VCS 1622,REDD,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Guatemala,VCS-CCB,5000,3.4,Trade,CBL,2019-10-10,0.0,,2019,10,4,2013
103,VCS 977,REDD,RMDLT Portel - Para REDD Project,Brazil,VCS-CCB,5000,1.2,Trade,CBL,2019-10-11,0.0,,2019,10,4,2012
104,VCS 740,Wind,Prairiwinds ND1 (PWND1) Emissions Reduction Project,USA,VCS-SDG,23150,2.7,Trade,CBL,2019-10-18,0.0,,2019,10,4,2014
105,VCS 756,Wind,Crow Lake Wind Emissions Reduction Project,United States,VCS,32628,2.7,Trade,CBL,2019-10-18,0.0,,2019,10,4,2014
106,VCS 1793,Wind,Renewable Power Project by Devarahipparigi Wind Power Private Limited,India,VCS-SDG,150000,0.45,Trade,CBL,2019-10-29,0.0,,2019,10,4,2017
107,VCS 1851,Solar,Renewable Solar Power Project by ReNew Solar Power Private Limited,India,VCS,800000,0.45,Trade,CBL,2019-10-29,0.0,,2019,10,4,2018
108,VCS 1824,Biomass,"Liucheng Biomass Power Generation Project in Guangxi Zhuang Autonomous Region, China",China,VCS,19800,0.42,Trade,CBL,2019-11-03,0.0,,2019,11,4,2014
109,VCS 1867,Wind,Ningxia Xiangshan Wind Farm Project,China,VCS-SDG,50000,0.42,Trade,CBL,2019-11-07,0.0,,2019,11,4,2018
110,VCS 1867,Wind,Ningxia Xiangshan Wind Farm Project,China,VCS-SDG,50000,0.42,Trade,CBL,2019-11-07,0.0,,2019,11,4,2019
111,VCS 977,REDD,RMDLT Portel - Para REDD Project,Brazil,VCS-CCB,400,0.85,Trade,CBL,2019-11-15,0.0,,2019,11,4,2012
112,VCS 468,Wind,Capricorn Ridge 4 Wind Farm,USA,VCS,300,3.75,Trade,CBL,2019-11-18,0.0,,2019,11,4,2018
113,VCS 1135,Wind,27.3 MW Wind Energy Farm at Mokla Rajasthan by HZL,India,VCS,23203,0.32,Trade,CBL,2019-11-26,0.0,,2019,11,4,2013
114,VCS 1137,Wind,"21 MW Wind Energy Farm at Palladam, Tamilnadue by HZL",India,VCS,31797,0.32,Trade,CBL,2019-11-26,0.0,,2019,11,4,2013
115,VCS 1521,Wind,Wind Based Power Generation by Mytrah Energy (India) Limited (EKIESL-VCS-January-16-01),India,VCS,9621,0.42,Trade,CBL,2019-11-26,0.0,,2019,11,4,2018
116,VCS 1931,Solar,Energising India using Solar Energy Projects,India,VCS-SDG,100000,0.45,Trade,CBL,2019-11-27,0.0,,2019,11,4,2019
117,VCS 1867,Wind,Ningxia Xiangshan Wind Farm Project,China,VCS-SDG,480000,0.42,Trade,CBL,2019-12-04,0.0,,2019,12,4,2018
118,VCS 977,REDD,RMDLT Portel - Para REDD Project,Brazil,VCS-CCB,11000,1.2,Trade,CBL,2019-12-05,0.0,,2019,12,4,2013
119,VCS 1521,Wind,Wind Based Power Generation by Mytrah Energy (India) Limited (EKIESL-VCS-January-16-01),India,VCS,200000,0.5,Trade,CBL,2019-12-11,0.0,,2019,12,4,2019
120,VCS 1538,ARR,ECO2 Rubber Forests in Guatemala,Guatemala,VCS,10000,3.0,Trade,CBL,2019-12-11,0.0,,2019,12,4,2018
121,VCS 1622,REDD,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Guatemala,VCS-CCB,1000,5.6,Trade,CBL,2019-12-12,0.0,,2019,12,4,2017
122,VCS 737,ARR,"TIST Program in Kenya, VCS 005",Kenya,VCS-CCB,1000,8.0,Trade,CBL,2019-12-12,0.0,,2019,12,4,2016
123,VCS 1939,Wind,Cecep Gansu Yumen Changma Daba South Wind Farm Project,China,VCS,17802,0.42,Trade,CBL,2019-12-24,0.0,,2019,12,4,2018
124,VCS 1867,Wind,Ningxia Xiangshan Wind Farm Project,China,VCS-SDG,111641,0.42,Trade,CBL,2019-12-24,0.0,,2019,12,4,2019
125,VCS 1939,Wind,Cecep Gansu Yumen Changma Daba South Wind Farm Project,China,VCS,98344,0.42,Trade,CBL,2019-12-24,0.0,,2019,12,4,2016
126,VCS 1001,Wind,Inner mongolia yihewusu phase II wind power project,China,VCS,110617,0.42,Trade,CBL,2019-12-24,0.0,,2019,12,4,2016
127,VCS 1939,Wind,Cecep Gansu Yumen Changma Daba South Wind Farm Project,China,VCS,95407,0.42,Trade,CBL,2019-12-24,0.0,,2019,12,4,2017
128,VCS 1839,Wind,Cecic HKC Danjinghe Wind Farm Project,China,VCS,119148,0.42,Trade,CBL,2019-12-24,0.0,,2019,12,4,2016
129,VCS 1001,Wind,Inner mongolia yihewusu phase II wind power project,China,VCS,83906,0.42,Trade,CBL,2019-12-24,0.0,,2019,12,4,2017
130,VCS 1200,Wind,Guohua Wulate Zhongqi Phase II Wind Farm Project,China,VCS,102473,0.42,Trade,CBL,2019-12-27,0.0,,2019,12,4,2017
131,VCS 1356,Wind,Jiangsu Dongtai Phase II Wind Power Project,China,VCS,64515,0.42,Trade,CBL,2019-12-27,0.0,,2019,12,4,2017
132,VCS 1200,Wind,Guohua Wulate Zhongqi Phase II Wind Farm Project,China,VCS,141214,0.42,Trade,CBL,2019-12-27,0.0,,2019,12,4,2016
