,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Additional Issuance Certifications
1737,360,"5.65 MW Bundled grid-connected wind electricity generation project in Tamil Nadu and Karnataka, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,11913,Asia,2020-04-06,,,
1738,362,"Grid-connected wind electricity generation project identified as Project E6 in Maharashtra, India",KANDHARI BEVERAGES PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,9439,Asia,2010-03-22,,,
1739,363,Caldere Hydro Power Plant Project,Caldere Elektrik Uretim A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,21000,,2020-04-06,2018-04-04,2028-04-03,
1740,364,Bundled 15 MW Wind Power Project in India,Gangadhar Narsingdas Agrawal (HUF),Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,33019,,2020-04-06,,,
1741,366,Kaona Power Supply Biomass Cogeneration Project,"Kaona Power Supply Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,Thailand,25694,,2020-04-06,,,
1742,367,Kitroongruang Biogas Energy Project,Thai Biogas Energy Company Ltd,Waste handling and disposal,,ACM0014,Registered,Thailand,17328,,2020-04-06,,,
1743,465,BHL Thanabhawan Project,Bajaj Hindusthan Ltd,Energy industries (renewable/non-renewable sources),,ACM0002; ACM0006,Registered,India,29772,,2020-04-06,,,
1744,374,"Capacity enhancement for export of surplus power to  grid at Lakshmipuram, Andhra Pradesh, India",K.C.P SUGAR AND INDUSTRIES CORPORATION LIMITED,Energy industries (renewable/non-renewable sources),,ACM0006,Registered,India,3648,Asia,2010-03-30,,,
1745,376,"Positive Climate Care 8.25 MW Bundled Wind Power Project Activity by Savita Oil Technologies Limited in Hassan, Karnataka, India.",Savita Oil Technologies Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,17757,Asia,2010-05-04,,,
1746,377,"11.60 MW Bundled grid-connected wind electricity generation project at Tirunelveli, Tamil Nadu, India",Indian Wind Power Association,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,29586,Asia,2020-04-06,,,
1747,379,7.85 MW Bundled Wind Power Project in Southern India,Vandana Ispat Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,15694,,2020-04-06,,,
1748,371,Guangdong Lankou 26MW Hydro Power Project,"Shenzhen City Fuyuan Industry (Group) Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,69757,Asia,2020-06-04,,,
1749,372,"13.21 MW Bundled grid-connected wind electricity generation project in Coimbatore and Erode districts of Tamil Nadu, India",Indian Wind Power Association,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,30714,Asia,2020-04-06,,,
1750,382,"Sustainable Biomass based thermal energy generation VCS project of Lalan Rubbers (Pvt) Ltd factories in Biyagama & Seethawaka, Sri Lanka",Lalan Rubbers (Pvt) Ltd,Energy distribution,,AMS-I.C.,Registered,Sri Lanka,10970,Africa,2020-04-06,,,
1751,385,Saldanha Small Hydroelectric Project,Hidroluz Centrais Elétricas Ltda,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Brazil,28059,,2020-04-06,,,
1752,387,Electricity generation by utilization of waste heat from calcined petroleum coke production process,Rain Calcining Limited,Energy industries (renewable/non-renewable sources),,ACM0012,Registered,India,164677,Asia,2020-04-06,,,
1753,1330,Midilli Hydroelectric Power Plant,Masat Enerji Elektrik Uretim ve Tic. Ltd. Sti.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,63761,Middle East,2014-07-31,,,
1754,1339,Renencom Afforestation/Reforestation Grouped Project,Renencom,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registered,South Africa,66,Africa,2015-02-23,2010-12-22,2030-12-21,
1755,1344,Murat HEPP,Murat HEPP Energy Electricity Generation and Trade,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,97754,,2014-09-15,,,
1756,1345,Boyabat Hydroelectric Power Plant,Boyabat Elektrik Uretim Ve Ticaret AS,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,580882,Middle East,2014-10-24,,,
1757,406,"Generation of power from process waste heat at Hi-Tech Carbon, Tamil Nadu",Hi – Tech Carbon,Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012,Registered,India,87305,Asia,2020-04-06,,,
1758,407,Chakangrao Starch wastewater treatment and biogas utilization project,Chakangrao Starch Co. Ltd,Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Registered,Thailand,17415,Asia,2020-04-06,,,
1759,408,Thanawat wastewater treatment and biogas utilization project,"Thanawat Biogas Co., Ltd",Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Registered,Thailand,22259,Asia,2020-04-06,,,
1760,409,MedcoEnergi Associated Gas Recovery and Utilization Project,PT. Medco LPG Kaji (MLK),"Fugitive emissions from fuels (solid, oil and gas)",,AM0009,Registered,Indonesia,86022,Asia,2020-04-06,,,
1761,402,Landfill-Gas-to-Energy Project at the Jiang Cun Gou Municipal Landfill,Veolia Environmental Services Energy Recovery Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001; AMS-I.D.,Registered,China,109496,Asia,2010-04-28,2019-06-01,2029-05-31,
1762,422,Zhejiang Wenling Donghaitang Wind Power Project,"Zhejiang Wenling Donghaitang Wind Power Co.,",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,69372,Asia,2020-04-06,,,
1763,1358,Erdemir Sub-project # 6:Continuous Annealing Line (CAL) Waste Heat Recovery Boiler (WHRB),Eregli Demir ve Celik Fabrikalari T.A.S.,Manufacturing industries,,AMS-III.Q,Registered,Turkey,2625,Middle East,2020-04-06,,,
1764,1369,"Scitus Luzhou Cement Co., Ltd WHR Power Generation Project (9MW)","Scitus Luzhou Cement Co., Ltd",Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012,Registered,China,36161,Asia,2014-12-08,2014-05-03,2024-05-02,
1765,1370,"Guizhou Kai Li Rui An Jian Cai Co., Ltd WHR Power Generation Project (4.5MW)","Guizhou Kai Li Rui An Jian Cai Co., Ltd",Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012,Registered,China,20118,Asia,2014-11-27,,,
1766,41,Chao Khun Agro Biogas Energy Project,Thai Biogas Energy Company Ltd,Waste handling and disposal,,AMS-III.D.,Registered,Thailand,48167,Asia,2020-04-06,,,
1767,1410,"Solar PV power project at Patan,India",Alex Astral Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registration and verification approval requested,India,39532,Asia,,,,
1768,132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,18663,Asia,2009-08-29,,,
1769,146,Pôr do Sol Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,7905,Latin America,2020-04-07,2017-01-01,2026-12-31,
1770,149,Rongcheng Dongchudao Wind Farm,"Shandong Luneng Development Group Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002; AMS-I.D.,Registered,China,29091,Asia,2020-04-06,2021-05-01,2028-04-30,
1771,152,Ningxia Tianjing 50.25MW Wind-farm Project,Ningxia Tianjing Wind Power Generation Electricity,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,15144,Asia,2009-10-21,2021-04-01,2028-03-31,
1772,169,"Zhongfang County Pailou Hydro Project, China","Pailou Hydropower of Zhongfang County Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,71606,,2020-04-06,,,
1773,172,"Yunnan Zemahe 15MW Small Hydropower Project, P. R. China",Fugong Hongda Hydropower Development Co. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,China,63561,,2020-04-06,,,
1774,192,"48 MW Houqiao Hydropower Project, Yunnan, China","Yunnan Baoshan Binglang River Hydropower Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,178615,Asia,2020-04-06,2016-04-01,2026-03-31,
1775,195,"8.3 MW Wind Electricity Generation Project by Parakh Agro Industries Limited in Dhule, Maharashtra",Parakh Agro Industries Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,13175,Asia,2009-11-24,,,
1776,209,"Gneisenau 4, Utilisation of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,,Registered,Germany,470660,,2020-04-06,,,
1777,212,"Joarin, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,,Registered,Germany,62754,,2020-04-06,,,
1778,215,"Lothringen 6, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,AMS-III.D.,Registered,Germany,125509,,2020-04-06,,,
1779,69,5.8 MW Wind Energy Generation by M/s Patspin India Limited,Patspin India Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,12975,Asia,2009-06-10,,,
